Website,CDN_Server_1,CDN_Server_2,CDN_Server_3,CDN_Server_4,CDN_Server_5,CDN_Server_6,CDN_Server_7,CDN_Server_8,CDN_Server_9,CDN_Server_10,CDN_Server_11,CDN_Server_12,CDN_Server_13
cms.gov,a23-209-248-95.deploy.static.akamaitechnologies.com,a23-194-209-71.deploy.static.akamaitechnologies.com,a23-41-253-205.deploy.static.akamaitechnologies.com,a72-246-62-101.deploy.static.akamaitechnologies.com,a23-221-21-95.deploy.static.akamaitechnologies.com,a104-89-118-104.deploy.static.akamaitechnologies.com,a23-52-192-94.deploy.static.akamaitechnologies.com,a104-86-94-100.deploy.static.akamaitechnologies.com,a104-103-226-105.deploy.static.akamaitechnologies.com,a23-10-129-109.deploy.static.akamaitechnologies.com,,,
nme.com,server-18-67-93-60.syd62.r.cloudfront.net,server-18-239-142-18.bom54.r.cloudfront.net,server-18-67-17-81.yto50.r.cloudfront.net,server-18-245-46-69.fra56.r.cloudfront.net,server-3-168-122-58.jfk52.r.cloudfront.net,server-18-238-192-129.sfo53.r.cloudfront.net,server-18-239-36-61.ams58.r.cloudfront.net,server-18-238-192-45.sfo53.r.cloudfront.net,server-3-168-122-52.jfk52.r.cloudfront.net,server-108-138-7-106.fra56.r.cloudfront.net,server-3-165-102-114.sin2.r.cloudfront.net,server-52-85-132-9.iad50.r.cloudfront.net,server-3-168-122-53.jfk52.r.cloudfront.net
reasonsecurity.com,server-13-35-121-45.sfo5.r.cloudfront.net,server-13-35-147-108.syd1.r.cloudfront.net,server-18-238-80-121.jfk52.r.cloudfront.net,server-13-35-238-7.sin2.r.cloudfront.net,server-3-162-3-73.yul62.r.cloudfront.net,server-52-84-205-22.blr50.r.cloudfront.net,server-18-172-153-112.lhr50.r.cloudfront.net,server-13-35-121-74.sfo5.r.cloudfront.net,server-18-238-80-54.jfk52.r.cloudfront.net,server-18-238-243-92.ams58.r.cloudfront.net,server-18-66-122-126.fra60.r.cloudfront.net,server-108-156-152-114.atl58.r.cloudfront.net,
dazn.com,server-13-35-121-70.sfo5.r.cloudfront.net,server-99-86-229-31.iad79.r.cloudfront.net,server-18-172-112-79.fra60.r.cloudfront.net,server-13-225-63-79.ewr53.r.cloudfront.net,server-13-225-63-126.ewr53.r.cloudfront.net,server-18-172-112-113.fra60.r.cloudfront.net,server-108-158-32-39.syd3.r.cloudfront.net,server-13-225-63-26.ewr53.r.cloudfront.net,server-18-239-111-67.bom54.r.cloudfront.net,server-18-239-83-94.ams58.r.cloudfront.net,server-3-165-102-30.sin2.r.cloudfront.net,server-18-67-17-30.yto50.r.cloudfront.net,
livemint.com,a23-204-66-28.deploy.static.akamaitechnologies.com,a23-34-210-144.deploy.static.akamaitechnologies.com,a23-61-113-2.deploy.static.akamaitechnologies.com,a23-54-58-39.deploy.static.akamaitechnologies.com,a23-35-188-253.deploy.static.akamaitechnologies.com,a23-56-163-25.deploy.static.akamaitechnologies.com,a104-75-90-18.deploy.static.akamaitechnologies.com,a2-22-70-27.deploy.static.akamaitechnologies.com,a184-30-157-13.deploy.static.akamaitechnologies.com,a23-37-16-252.deploy.static.akamaitechnologies.com,,,
weather.gov,a23-44-0-75.deploy.static.akamaitechnologies.com,a23-216-72-10.deploy.static.akamaitechnologies.com,a184-30-248-20.deploy.static.akamaitechnologies.com,a23-196-44-171.deploy.static.akamaitechnologies.com,a23-61-112-15.deploy.static.akamaitechnologies.com,a23-37-16-17.deploy.static.akamaitechnologies.com,a23-41-168-15.deploy.static.akamaitechnologies.com,a2-21-40-13.deploy.static.akamaitechnologies.com,a69-192-160-15.deploy.static.akamaitechnologies.com,,,,
alltrails.com,server-13-225-63-48.ewr53.r.cloudfront.net,server-3-162-103-23.iad61.r.cloudfront.net,server-18-239-83-85.ams58.r.cloudfront.net,server-65-8-161-17.sfo53.r.cloudfront.net,server-108-158-32-77.syd3.r.cloudfront.net,server-13-32-27-80.fra56.r.cloudfront.net,server-13-32-27-61.fra56.r.cloudfront.net,server-18-67-17-109.yto50.r.cloudfront.net,server-13-35-238-41.sin2.r.cloudfront.net,server-65-8-161-11.sfo53.r.cloudfront.net,server-18-172-64-118.bom78.r.cloudfront.net,server-13-225-63-67.ewr53.r.cloudfront.net,
fidelity.com,a95-101-74-122.deploy.static.akamaitechnologies.com,a23-205-255-228.deploy.static.akamaitechnologies.com,a23-49-248-19.deploy.static.akamaitechnologies.com,a2-19-248-94.deploy.static.akamaitechnologies.com,aac3080df2edf6ea2.awsglobalaccelerator.com,a23-48-105-8.deploy.static.akamaitechnologies.com,a23-11-215-153.deploy.static.akamaitechnologies.com,a23-48-224-79.deploy.static.akamaitechnologies.com,a23-32-29-11.deploy.static.akamaitechnologies.com,,,,
lnk.to,ec2-54-227-150-48.compute-1.amazonaws.com,ec2-54-76-188-55.eu-west-1.compute.amazonaws.com,ec2-54-66-102-38.ap-southeast-2.compute.amazonaws.com,ec2-44-206-90-74.compute-1.amazonaws.com,ec2-3-82-123-191.compute-1.amazonaws.com,ec2-13-54-144-184.ap-southeast-2.compute.amazonaws.com,ec2-34-202-136-234.compute-1.amazonaws.com,ec2-54-170-148-233.eu-west-1.compute.amazonaws.com,ec2-50-19-42-162.compute-1.amazonaws.com,ec2-34-252-228-47.eu-west-1.compute.amazonaws.com,ec2-54-170-146-184.eu-west-1.compute.amazonaws.com,,
lijit.com,server-52-222-144-100.mrs52.r.cloudfront.net,server-13-226-34-53.ewr53.r.cloudfront.net,server-13-226-34-129.ewr53.r.cloudfront.net,server-18-155-192-122.sfo53.r.cloudfront.net,server-18-155-192-94.sfo53.r.cloudfront.net,server-13-226-228-41.lax50.r.cloudfront.net,server-18-239-50-2.ams58.r.cloudfront.net,server-18-164-52-46.cdg50.r.cloudfront.net,server-3-162-3-3.yul62.r.cloudfront.net,server-18-245-253-24.lhr5.r.cloudfront.net,server-13-226-34-36.ewr53.r.cloudfront.net,server-13-32-230-5.atl56.r.cloudfront.net,server-18-244-18-16.fra56.r.cloudfront.net
studentaid.gov,a2-22-5-46.deploy.static.akamaitechnologies.com,a23-35-229-4.deploy.static.akamaitechnologies.com,a23-41-169-55.deploy.static.akamaitechnologies.com,a104-99-48-246.deploy.static.akamaitechnologies.com,a104-123-41-120.deploy.static.akamaitechnologies.com,a23-54-201-6.deploy.static.akamaitechnologies.com,a184-25-161-22.deploy.static.akamaitechnologies.com,a104-83-197-13.deploy.static.akamaitechnologies.com,a23-34-210-53.deploy.static.akamaitechnologies.com,a104-116-104-223.deploy.static.akamaitechnologies.com,,,
widgetable.net,ec2-52-44-189-107.compute-1.amazonaws.com,ec2-34-235-228-25.compute-1.amazonaws.com,ec2-18-233-220-126.compute-1.amazonaws.com,ec2-44-199-50-123.compute-1.amazonaws.com,ec2-34-233-30-96.compute-1.amazonaws.com,ec2-52-7-123-121.compute-1.amazonaws.com,ec2-54-167-196-17.compute-1.amazonaws.com,ec2-107-23-223-45.compute-1.amazonaws.com,ec2-54-160-101-0.compute-1.amazonaws.com,,,,
publico.pt,server-108-159-61-82.bom78.r.cloudfront.net,server-13-225-78-7.fra2.r.cloudfront.net,server-13-35-147-108.syd1.r.cloudfront.net,server-13-249-91-100.jfk52.r.cloudfront.net,server-13-225-4-60.sin52.r.cloudfront.net,server-13-249-91-60.jfk52.r.cloudfront.net,server-13-249-91-83.jfk52.r.cloudfront.net,server-18-173-121-37.sfo53.r.cloudfront.net,server-13-225-78-62.fra2.r.cloudfront.net,server-18-173-121-11.sfo53.r.cloudfront.net,server-18-245-96-54.yto50.r.cloudfront.net,server-18-238-243-63.ams58.r.cloudfront.net,server-18-160-10-66.iad12.r.cloudfront.net
fotmob.com,server-18-172-78-37.bom78.r.cloudfront.net,server-18-238-49-110.jfk52.r.cloudfront.net,server-13-33-165-35.yto50.r.cloudfront.net,server-18-244-18-81.fra56.r.cloudfront.net,server-18-173-121-57.sfo53.r.cloudfront.net,server-18-244-18-18.fra56.r.cloudfront.net,server-18-67-110-126.syd62.r.cloudfront.net,server-3-167-37-58.iad61.r.cloudfront.net,server-18-239-83-50.ams58.r.cloudfront.net,server-13-33-88-44.sin2.r.cloudfront.net,server-18-238-49-108.jfk52.r.cloudfront.net,,
zahid.host,in2.zahid.host,us3.zahid.host,au1.zahid.host,uk2.zahid.host,ca1.zahid.host,quiveredge.com,de1.zahid.host,nl1.zahid.host,sg1.zahid.host,,,,
lsu.edu,fss.lsu.edu,english.lsu.edu,lsustorm.net,lgs.lsu.edu,lsu.com,pathways.lsu.edu,1650-1850.net,enrg.lsu.edu,lsuservestheworld.net,sncsrt.lsu.edu,coa.lsu.edu,camd.lsu.edu,
theknot.com,a104-114-83-106.deploy.static.akamaitechnologies.com,a184-25-75-32.deploy.static.akamaitechnologies.com,a104-103-201-105.deploy.static.akamaitechnologies.com,a23-56-120-86.deploy.static.akamaitechnologies.com,a23-204-0-20.deploy.static.akamaitechnologies.com,a184-87-35-178.deploy.static.akamaitechnologies.com,a125-252-231-57.deploy.static.akamaitechnologies.com,a23-45-108-47.deploy.static.akamaitechnologies.com,a23-38-25-242.deploy.static.akamaitechnologies.com,a104-68-22-75.deploy.static.akamaitechnologies.com,,,
google.sm,sl-in-f147.1e100.net,lga25s78-in-f4.1e100.net,mad08s04-in-f4.1e100.net,lcfraa-aa-in-f4.1e100.net,yv-in-f106.1e100.net,lga25s79-in-f4.1e100.net,sfo03s25-in-f4.1e100.net,yyz10s20-in-f4.1e100.net,bom07s32-in-f4.1e100.net,ams15s42-in-f4.1e100.net,lga25s80-in-f4.1e100.net,sfo03s33-in-f4.1e100.net,syd09s24-in-f4.1e100.net
appfolio.com,server-18-165-140-12.hel51.r.cloudfront.net,server-3-168-86-117.sfo5.r.cloudfront.net,server-13-35-93-70.jfk50.r.cloudfront.net,server-13-32-27-28.fra56.r.cloudfront.net,server-3-168-86-125.sfo5.r.cloudfront.net,server-18-165-140-48.hel51.r.cloudfront.net,server-18-239-36-24.ams58.r.cloudfront.net,server-3-164-92-96.yto53.r.cloudfront.net,server-3-168-86-123.sfo5.r.cloudfront.net,server-99-86-229-9.iad79.r.cloudfront.net,server-13-35-93-46.jfk50.r.cloudfront.net,,
cdc.gov,vaccine.gov,actagainstaids.org,vaccines.gov,knowitsniosh.niosh.gov,vacunas.gov,vacines.gov,howrightnow.org,cdc.gov,,,,,
betclic.ci,server-13-35-210-14.sin2.r.cloudfront.net,server-13-35-210-37.sin2.r.cloudfront.net,server-99-84-238-117.sfo5.r.cloudfront.net,server-18-160-10-38.iad12.r.cloudfront.net,server-13-227-138-36.bom50.r.cloudfront.net,server-18-245-31-110.fra56.r.cloudfront.net,server-13-33-165-7.yto50.r.cloudfront.net,server-18-164-96-72.jfk50.r.cloudfront.net,server-99-84-238-106.sfo5.r.cloudfront.net,server-18-164-96-78.jfk50.r.cloudfront.net,server-108-156-60-40.ams1.r.cloudfront.net,server-18-245-31-123.fra56.r.cloudfront.net,
google.lt,syd09s31-in-f3.1e100.net,ams15s41-in-f3.1e100.net,lhr48s27-in-f3.1e100.net,yx-in-f94.1e100.net,fra16s48-in-f3.1e100.net,lga25s73-in-f3.1e100.net,sfo03s25-in-f3.1e100.net,lga34s38-in-f3.1e100.net,sfo03s24-in-f3.1e100.net,sh-in-f94.1e100.net,yyz12s08-in-f3.1e100.net,lax30s03-in-f3.1e100.net,bom07s25-in-f3.1e100.net
ritzcarlton.com,a23-60-108-116.deploy.static.akamaitechnologies.com,a184-51-96-120.deploy.static.akamaitechnologies.com,a23-41-168-88.deploy.static.akamaitechnologies.com,a23-218-208-86.deploy.static.akamaitechnologies.com,a104-123-40-86.deploy.static.akamaitechnologies.com,a2-22-4-106.deploy.static.akamaitechnologies.com,a104-99-48-116.deploy.static.akamaitechnologies.com,a23-33-180-91.deploy.static.akamaitechnologies.com,a23-56-162-123.deploy.static.akamaitechnologies.com,a104-116-104-103.deploy.static.akamaitechnologies.com,a184-29-118-133.deploy.static.akamaitechnologies.com,,
netlify.app,ec2-13-228-199-255.ap-southeast-1.compute.amazonaws.com,ec2-44-217-161-11.compute-1.amazonaws.com,ec2-13-57-148-141.us-west-1.compute.amazonaws.com,ec2-54-84-236-175.compute-1.amazonaws.com,ec2-35-156-224-161.eu-central-1.compute.amazonaws.com,ec2-50-18-142-31.us-west-1.compute.amazonaws.com,ec2-100-28-201-155.compute-1.amazonaws.com,ec2-13-251-96-10.ap-southeast-1.compute.amazonaws.com,ec2-3-125-36-175.eu-central-1.compute.amazonaws.com,ec2-3-124-100-143.eu-central-1.compute.amazonaws.com,ec2-44-219-53-183.compute-1.amazonaws.com,ec2-3-24-66-78.ap-southeast-2.compute.amazonaws.com,ec2-18-213-222-111.compute-1.amazonaws.com
wa.me,whatsapp-cdn-shv-02-fra3.fbcdn.net,whatsapp-cdn-shv-01-atl3.fbcdn.net,whatsapp-cdn-shv-02-lhr8.fbcdn.net,whatsapp-cdn-shv-01-ams4.fbcdn.net,whatsapp-cdn-shv-01-lga3.fbcdn.net,whatsapp-cdn-shv-04-sin6.fbcdn.net,whatsapp-cdn-shv-01-yyz1.fbcdn.net,whatsapp-cdn-shv-02-pnq1.fbcdn.net,whatsapp-cdn-shv-01-sjc3.fbcdn.net,whatsapp-cdn-shv-02-lga3.fbcdn.net,whatsapp-cdn-shv-01-syd2.fbcdn.net,,
google.sh,lga34s40-in-f3.1e100.net,ym-in-f94.1e100.net,ams15s48-in-f3.1e100.net,lga25s73-in-f3.1e100.net,syd09s25-in-f3.1e100.net,bom07s36-in-f3.1e100.net,yyz12s07-in-f3.1e100.net,lga34s35-in-f3.1e100.net,nuq04s45-in-f3.1e100.net,lga25s80-in-f3.1e100.net,lhr25s32-in-f3.1e100.net,sa-in-f94.1e100.net,
google.ae,ya-in-f94.1e100.net,nuq04s39-in-f3.1e100.net,lga34s39-in-f3.1e100.net,ams15s44-in-f3.1e100.net,lga25s77-in-f3.1e100.net,syd15s06-in-f3.1e100.net,yyz12s07-in-f3.1e100.net,bom12s14-in-f3.1e100.net,fra24s08-in-f3.1e100.net,se-in-f94.1e100.net,sfo03s18-in-f3.1e100.net,lhr48s28-in-f3.1e100.net,lga25s81-in-f3.1e100.net
freshchat.com,server-18-65-244-20.syd3.r.cloudfront.net,server-108-158-46-109.bom78.r.cloudfront.net,server-13-33-88-118.sin2.r.cloudfront.net,server-18-67-39-122.yto50.r.cloudfront.net,server-18-155-192-65.sfo53.r.cloudfront.net,server-18-155-192-128.sfo53.r.cloudfront.net,server-13-32-27-61.fra56.r.cloudfront.net,server-18-239-69-112.ams58.r.cloudfront.net,server-3-162-112-113.iad61.r.cloudfront.net,server-18-238-55-77.jfk52.r.cloudfront.net,server-18-238-55-61.jfk52.r.cloudfront.net,server-18-238-55-82.jfk52.r.cloudfront.net,
khelo24bet.com,ec2-18-194-221-214.eu-central-1.compute.amazonaws.com,ec2-35-156-209-204.eu-central-1.compute.amazonaws.com,ec2-35-158-228-203.eu-central-1.compute.amazonaws.com,ec2-3-67-246-233.eu-central-1.compute.amazonaws.com,ec2-52-28-78-43.eu-central-1.compute.amazonaws.com,ec2-3-76-73-182.eu-central-1.compute.amazonaws.com,ec2-3-64-186-217.eu-central-1.compute.amazonaws.com,ec2-3-124-67-144.eu-central-1.compute.amazonaws.com,,,,,
googleoptimize.com,fra24s12-in-f14.1e100.net,nuq04s42-in-f14.1e100.net,ams15s41-in-f14.1e100.net,lga34s32-in-f14.1e100.net,lhr25s34-in-f14.1e100.net,bom12s19-in-f14.1e100.net,sc-in-f139.1e100.net,syd15s17-in-f14.1e100.net,lga25s81-in-f14.1e100.net,lga25s78-in-f14.1e100.net,yyz12s06-in-f14.1e100.net,nuq04s43-in-f14.1e100.net,ya-in-f113.1e100.net
99acres.com,a23-45-207-168.deploy.static.akamaitechnologies.com,a104-117-182-42.deploy.static.akamaitechnologies.com,a23-52-171-145.deploy.static.akamaitechnologies.com,a104-97-14-73.deploy.static.akamaitechnologies.com,a104-86-110-192.deploy.static.akamaitechnologies.com,a2-16-168-11.deploy.static.akamaitechnologies.com,a104-117-182-194.deploy.static.akamaitechnologies.com,a72-247-176-8.deploy.static.akamaitechnologies.com,a104-117-182-179.deploy.static.akamaitechnologies.com,a23-33-32-129.deploy.static.akamaitechnologies.com,a96-16-55-41.deploy.static.akamaitechnologies.com,a23-40-52-181.deploy.static.akamaitechnologies.com,a23-43-242-131.deploy.static.akamaitechnologies.com
google.com.ni,nuq04s39-in-f3.1e100.net,ym-in-f94.1e100.net,lga34s37-in-f3.1e100.net,lga34s39-in-f3.1e100.net,sfo03s25-in-f3.1e100.net,syd15s16-in-f3.1e100.net,bom12s15-in-f3.1e100.net,yyz12s07-in-f3.1e100.net,ams16s21-in-f3.1e100.net,fra24s05-in-f3.1e100.net,lga25s72-in-f3.1e100.net,ams15s41-in-f3.1e100.net,sa-in-f94.1e100.net
pluto.tv,ec2-52-72-182-15.compute-1.amazonaws.com,ec2-52-5-139-236.compute-1.amazonaws.com,ec2-34-193-35-255.compute-1.amazonaws.com,ec2-54-166-51-207.compute-1.amazonaws.com,ec2-23-22-201-252.compute-1.amazonaws.com,ec2-54-92-195-59.compute-1.amazonaws.com,ec2-35-169-27-211.compute-1.amazonaws.com,ec2-23-21-24-6.compute-1.amazonaws.com,ec2-34-231-213-39.compute-1.amazonaws.com,ec2-54-174-1-16.compute-1.amazonaws.com,ec2-3-81-199-57.compute-1.amazonaws.com,ec2-52-1-107-196.compute-1.amazonaws.com,
privacymanager.io,server-52-85-132-10.iad50.r.cloudfront.net,server-3-161-82-121.fra56.r.cloudfront.net,server-18-164-96-121.jfk50.r.cloudfront.net,server-13-227-254-92.sin52.r.cloudfront.net,server-18-239-50-87.ams58.r.cloudfront.net,server-3-161-82-119.fra56.r.cloudfront.net,server-18-164-96-28.jfk50.r.cloudfront.net,server-108-159-61-59.bom78.r.cloudfront.net,server-18-155-202-68.sfo53.r.cloudfront.net,server-13-33-165-53.yto50.r.cloudfront.net,server-18-155-202-102.sfo53.r.cloudfront.net,server-18-65-244-99.syd3.r.cloudfront.net,
google.co.uk,lga25s79-in-f3.1e100.net,syd09s31-in-f3.1e100.net,zrh04s05-in-f99.1e100.net,lhr25s31-in-f3.1e100.net,atl26s14-in-f3.1e100.net,ams15s44-in-f3.1e100.net,yi-in-f94.1e100.net,yyz12s07-in-f3.1e100.net,sb-in-f94.1e100.net,lga34s35-in-f3.1e100.net,sfo03s21-in-f3.1e100.net,lga25s72-in-f3.1e100.net,bom07s29-in-f3.1e100.net
elpais.com,a23-223-209-19.deploy.static.akamaitechnologies.com,a23-223-209-78.deploy.static.akamaitechnologies.com,a23-46-187-168.deploy.static.akamaitechnologies.com,a96-16-53-155.deploy.static.akamaitechnologies.com,a23-45-207-177.deploy.static.akamaitechnologies.com,a23-223-17-168.deploy.static.akamaitechnologies.com,a23-206-242-178.deploy.static.akamaitechnologies.com,a23-62-46-102.deploy.static.akamaitechnologies.com,a193-108-153-12.deploy.static.akamaitechnologies.com,a96-7-224-161.deploy.static.akamaitechnologies.com,a23-67-33-151.deploy.static.akamaitechnologies.com,a2-18-66-32.deploy.static.akamaitechnologies.com,
id5-sync.com,ns3216659.ip-141-95-98.eu,ns31532338.ip-162-19-138.eu,ns31533568.ip-162-19-138.eu,ns3203256.ip-141-95-33.eu,ns31532337.ip-162-19-138.eu,ns31533569.ip-162-19-138.eu,ns31533570.ip-162-19-138.eu,ns31533571.ip-162-19-138.eu,ns31533567.ip-162-19-138.eu,,,,
adrta.com,ec2-52-11-129-72.us-west-2.compute.amazonaws.com,ec2-34-204-150-124.compute-1.amazonaws.com,ec2-44-240-122-106.us-west-2.compute.amazonaws.com,ec2-54-224-177-174.compute-1.amazonaws.com,ec2-52-22-71-141.compute-1.amazonaws.com,ec2-18-205-13-71.compute-1.amazonaws.com,ec2-54-227-245-2.compute-1.amazonaws.com,ec2-54-236-125-183.compute-1.amazonaws.com,ec2-35-85-24-243.us-west-2.compute.amazonaws.com,,,,
priceoye.pk,server-3-168-86-49.sfo5.r.cloudfront.net,server-13-32-208-63.iad66.r.cloudfront.net,server-18-155-68-119.sin52.r.cloudfront.net,server-3-168-73-11.jfk50.r.cloudfront.net,server-3-168-73-12.jfk50.r.cloudfront.net,server-18-239-50-107.ams58.r.cloudfront.net,server-13-225-78-42.fra2.r.cloudfront.net,server-3-168-86-73.sfo5.r.cloudfront.net,server-108-159-80-72.bom78.r.cloudfront.net,server-18-67-110-74.syd62.r.cloudfront.net,server-13-33-165-42.yto50.r.cloudfront.net,server-3-168-73-114.jfk50.r.cloudfront.net,
statista.com,server-99-86-4-103.fra6.r.cloudfront.net,server-52-85-151-33.iad89.r.cloudfront.net,server-18-239-36-105.ams58.r.cloudfront.net,server-3-164-92-24.yto53.r.cloudfront.net,server-13-35-210-113.sin2.r.cloudfront.net,server-99-86-4-39.fra6.r.cloudfront.net,server-108-138-106-99.jfk50.r.cloudfront.net,server-108-138-106-98.jfk50.r.cloudfront.net,server-108-158-20-45.syd62.r.cloudfront.net,server-108-159-61-67.bom78.r.cloudfront.net,server-108-138-106-41.jfk50.r.cloudfront.net,server-18-155-202-65.sfo53.r.cloudfront.net,
india.com,a23-209-46-132.deploy.static.akamaitechnologies.com,a23-50-131-143.deploy.static.akamaitechnologies.com,a23-205-255-236.deploy.static.akamaitechnologies.com,a23-34-59-16.deploy.static.akamaitechnologies.com,a23-216-149-135.deploy.static.akamaitechnologies.com,a23-206-243-51.deploy.static.akamaitechnologies.com,a2-18-27-145.deploy.static.akamaitechnologies.com,a23-46-216-200.deploy.static.akamaitechnologies.com,a104-110-191-33.deploy.static.akamaitechnologies.com,a23-34-59-4.deploy.static.akamaitechnologies.com,a23-201-47-185.deploy.static.akamaitechnologies.com,a23-1-33-15.deploy.static.akamaitechnologies.com,
